Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;16:41:50;0;0.23;2.52;5.03;7.8
22/12/2023;16:41:53;2;0.48;2.48;5.03;7.8
22/12/2023;16:41:56;4;0.48;2.49;5.03;7.8
22/12/2023;16:41:58;6;0.00;2.45;5.03;7.8
22/12/2023;16:42:01;8;0.53;2.36;5.03;7.8
22/12/2023;16:42:03;10;0.48;2.35;5.03;7.8
22/12/2023;16:42:06;12;0.48;2.33;5.03;7.8
22/12/2023;16:42:09;14;0.48;2.27;5.03;7.8
22/12/2023;16:42:11;16;0.43;2.18;5.03;7.8
22/12/2023;16:42:14;18;0.43;2.15;5.03;7.8
22/12/2023;16:42:16;20;0.00;2.14;5.03;7.8
22/12/2023;16:42:19;22;0.43;2.15;5.03;7.8
22/12/2023;16:42:22;24;0.43;2.09;5.03;7.8
22/12/2023;16:42:24;26;0.43;2.07;5.03;7.8
22/12/2023;16:42:27;28;0.38;2.06;5.03;7.8
22/12/2023;16:42:29;30;0.43;2.07;5.03;7.8
22/12/2023;16:42:32;32;0.00;2.15;5.03;7.8
22/12/2023;16:42:35;34;0.00;2.11;5.03;7.8
22/12/2023;16:42:37;36;0.00;2.10;5.03;7.8
22/12/2023;16:42:40;38;0.00;2.11;5.03;7.8
22/12/2023;16:42:42;40;0.00;2.13;5.03;7.8
22/12/2023;16:44:10;92;0.46;1.94;5.03;7.8
22/12/2023;16:44:13;94;0.41;1.94;5.03;7.8
22/12/2023;16:44:15;96;0.46;1.93;5.03;7.8
22/12/2023;16:44:18;98;0.00;1.96;5.03;7.8
22/12/2023;16:44:21;100;0.41;1.94;5.03;7.8
22/12/2023;16:44:23;102;0.46;1.94;5.03;7.8
22/12/2023;16:44:26;104;0.46;1.93;5.03;7.8
22/12/2023;16:44:28;106;0.41;1.96;5.03;7.8
22/12/2023;16:44:31;108;0.46;1.93;5.03;7.8
22/12/2023;16:44:34;110;0.46;1.94;5.03;7.8
22/12/2023;16:44:36;112;0.41;1.93;5.03;7.8
22/12/2023;16:44:39;114;0.00;1.94;5.03;7.8
22/12/2023;16:44:42;116;0.46;1.93;5.03;7.8
22/12/2023;16:44:44;118;0.41;1.96;5.03;7.8
22/12/2023;16:44:47;120;0.46;1.93;5.03;7.8
22/12/2023;16:44:50;122;0.46;1.90;5.03;7.8
22/12/2023;16:44:52;124;0.41;1.89;5.03;7.8
22/12/2023;16:44:55;126;0.41;1.88;5.03;7.8
22/12/2023;16:44:57;128;0.00;1.92;5.03;7.8
22/12/2023;16:45:00;130;0.46;1.97;5.03;7.8
22/12/2023;16:45:03;132;0.46;1.97;5.03;7.8
22/12/2023;16:45:05;134;0.46;1.97;5.03;7.8
22/12/2023;16:45:08;136;0.46;1.96;5.03;7.8
22/12/2023;16:45:10;138;0.41;1.96;5.03;7.8
22/12/2023;16:45:14;140;0.46;1.97;5.03;7.8
22/12/2023;16:45:16;142;0.46;1.96;5.03;7.8
22/12/2023;16:45:19;144;0.46;1.97;5.03;7.8
22/12/2023;16:45:22;146;0.46;1.96;5.03;7.8
22/12/2023;16:45:24;148;0.00;1.93;5.03;7.8
22/12/2023;16:45:27;150;0.46;1.92;5.03;7.8
22/12/2023;16:45:29;152;0.41;1.94;5.03;7.8
22/12/2023;16:45:32;154;0.46;1.96;5.03;7.8
22/12/2023;16:45:35;156;0.46;2.03;5.03;7.8
22/12/2023;16:45:37;158;0.51;2.05;5.03;7.8
22/12/2023;16:45:40;160;0.46;2.03;5.03;7.8
22/12/2023;16:45:42;162;0.00;2.05;5.03;7.8
22/12/2023;16:45:45;164;0.46;2.03;5.03;7.8
22/12/2023;16:45:48;166;0.51;2.05;5.03;7.8
22/12/2023;16:45:50;168;0.46;2.03;5.03;7.8
22/12/2023;16:45:53;170;0.46;2.05;5.03;7.8
22/12/2023;16:45:55;172;0.51;2.03;5.03;7.8
22/12/2023;16:45:58;174;0.46;2.05;5.03;7.8
22/12/2023;16:46:00;176;0.00;2.07;5.03;16.02
