Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;16:23:40;0;0.00;2.59;7.04;7.81
22/12/2023;16:23:42;2;0.38;2.59;7.05;7.81
22/12/2023;16:23:44;4;0.53;2.59;7.05;7.81
22/12/2023;16:23:47;6;0.53;2.62;7.04;7.81
22/12/2023;16:23:49;8;0.53;2.63;7.05;7.81
22/12/2023;16:23:52;10;0.00;2.63;7.04;7.81
22/12/2023;16:23:54;12;0.58;2.62;7.06;7.81
22/12/2023;16:23:57;14;0.53;2.61;7.05;7.81
22/12/2023;16:23:59;16;0.58;2.59;7.04;7.81
22/12/2023;16:24:02;18;0.53;2.61;7.05;7.81
22/12/2023;16:24:04;20;0.00;2.59;7.05;7.81
22/12/2023;16:24:06;22;0.58;2.59;7.04;7.81
22/12/2023;16:24:09;24;0.53;2.61;7.05;7.81
22/12/2023;16:24:11;26;0.58;2.67;7.04;7.81
22/12/2023;16:24:14;28;0.58;2.67;7.05;7.81
22/12/2023;16:24:16;30;0.58;2.67;7.05;7.81
22/12/2023;16:24:18;32;0.00;2.67;7.04;7.81
22/12/2023;16:24:21;34;0.58;2.69;7.05;7.81
22/12/2023;16:24:23;36;0.58;2.67;7.05;7.81
22/12/2023;16:24:26;38;0.58;2.71;7.05;7.81
22/12/2023;16:24:28;40;0.58;2.72;7.04;7.81
22/12/2023;16:24:31;42;0.00;2.74;7.05;7.81
22/12/2023;16:24:33;44;0.62;2.75;7.05;7.81
22/12/2023;16:24:35;46;0.58;2.74;7.05;7.81
22/12/2023;16:24:38;48;0.58;2.74;7.04;7.81
22/12/2023;16:24:40;50;0.58;2.74;7.05;7.81
22/12/2023;16:24:43;52;0.00;2.74;7.05;7.81
22/12/2023;16:24:45;54;0.58;2.74;7.05;7.81
22/12/2023;16:24:48;56;0.58;2.72;7.03;7.81
22/12/2023;16:24:50;58;0.62;2.74;7.05;7.81
22/12/2023;16:24:52;60;0.58;2.78;6.89;16.02
22/12/2023;16:24:55;62;0.00;2.82;7.04;16.02
22/12/2023;16:24:57;64;0.53;2.82;7.19;16.02
22/12/2023;16:25:00;66;0.58;2.80;6.94;16.02
22/12/2023;16:25:02;68;0.58;2.83;6.89;16.02
22/12/2023;16:25:05;70;0.53;2.82;7.17;16.02
22/12/2023;16:25:07;72;0.00;2.80;7.10;16.02
22/12/2023;16:25:09;74;0.58;2.76;6.87;16.02
22/12/2023;16:25:12;76;0.53;2.76;7.11;16.02
22/12/2023;16:25:14;78;0.58;2.78;7.07;16.02
22/12/2023;16:25:17;80;0.53;2.78;6.88;16.02
22/12/2023;16:25:19;82;0.00;2.78;7.16;16.02
22/12/2023;16:25:22;84;0.58;2.76;7.04;16.02
22/12/2023;16:25:24;86;0.53;2.78;6.99;16.02
22/12/2023;16:25:26;88;0.58;2.78;7.12;16.02
22/12/2023;16:25:29;90;0.53;2.78;7.02;16.02
22/12/2023;16:25:31;92;0.00;2.78;6.86;16.02
22/12/2023;16:25:34;94;0.58;2.76;7.15;16.02
22/12/2023;16:25:36;96;0.53;2.76;7.04;16.02
22/12/2023;16:25:39;98;0.58;2.78;6.93;16.02
22/12/2023;16:25:41;100;0.53;2.78;7.13;23.83
22/12/2023;16:25:43;102;0.00;2.76;7.06;23.83
22/12/2023;16:25:46;104;0.58;2.79;7.03;23.83
22/12/2023;16:25:48;106;0.53;2.84;7.12;23.83
22/12/2023;16:25:51;108;0.53;2.83;7.04;23.83
22/12/2023;16:25:53;110;0.53;2.84;6.94;23.83
22/12/2023;16:25:56;112;0.00;2.83;7.10;23.83
22/12/2023;16:25:58;114;0.53;2.83;7.13;23.83
22/12/2023;16:26:00;116;0.53;2.83;6.96;23.83
22/12/2023;16:26:03;118;0.53;2.84;7.03;23.83
22/12/2023;16:26:05;120;0.53;2.79;7.11;23.83
22/12/2023;16:26:08;122;0.00;2.79;7.06;23.83
22/12/2023;16:26:10;124;0.53;2.79;6.94;23.83
22/12/2023;16:26:13;126;0.53;2.78;7.07;23.83
22/12/2023;16:26:15;128;0.53;2.78;7.12;23.83
22/12/2023;16:26:17;130;0.48;2.78;6.98;23.83
22/12/2023;16:26:20;132;0.53;2.79;7.03;23.83
22/12/2023;16:26:22;134;0.00;2.79;7.13;23.83
22/12/2023;16:26:25;136;0.53;2.78;7.06;23.83
22/12/2023;16:26:27;138;0.53;2.78;6.97;23.83
22/12/2023;16:26:30;140;0.53;2.74;7.04;23.83
22/12/2023;16:26:32;142;0.53;2.78;7.12;23.83
22/12/2023;16:26:34;144;0.00;2.76;7.05;23.83
22/12/2023;16:26:37;146;0.48;2.76;6.93;23.83
22/12/2023;16:26:39;148;0.53;2.76;7.05;23.83
22/12/2023;16:26:42;150;0.53;2.76;7.11;23.83
22/12/2023;16:26:44;152;0.53;2.75;7.03;23.83
22/12/2023;16:26:47;154;0.00;2.76;6.95;23.83
22/12/2023;16:26:49;156;0.53;2.75;6.98;32.03
22/12/2023;16:26:51;158;0.48;2.83;7.01;32.03
22/12/2023;16:26:54;160;0.53;2.83;7.09;32.03
22/12/2023;16:26:56;162;0.48;2.83;7.06;32.03
22/12/2023;16:26:59;164;0.00;2.82;6.96;32.03
22/12/2023;16:27:01;166;0.53;2.82;7.08;32.03
22/12/2023;16:27:04;168;0.48;2.82;7.11;32.03
22/12/2023;16:27:06;170;0.48;2.82;7.01;32.03
22/12/2023;16:27:08;172;0.48;2.83;7.03;32.03
22/12/2023;16:27:11;174;0.00;2.82;7.10;32.03
22/12/2023;16:27:13;176;0.53;2.80;7.05;32.03
22/12/2023;16:27:16;178;0.48;2.82;6.96;32.03
22/12/2023;16:27:18;180;0.48;2.82;7.09;32.03
22/12/2023;16:27:21;182;0.53;2.80;7.12;32.03
22/12/2023;16:27:23;184;0.00;2.75;7.03;32.03
22/12/2023;16:27:25;186;0.48;2.74;7.00;32.03
22/12/2023;16:27:28;188;0.48;2.75;7.10;32.03
22/12/2023;16:27:30;190;0.48;2.74;7.05;32.03
