Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%);;;;;;;;
19/12/2023;16:46:34;796;0.04;2.08;10.07;78.91;;;;;;;;
19/12/2023;16:46:36;798;0.04;2.1;10.07;78.91;;;;;;;;
19/12/2023;16:46:39;800;0.1;2.08;10.07;78.9;;;;;;;;
19/12/2023;16:46:41;802;0;2.08;10.07;78.9;;;;;;;;
19/12/2023;16:46:43;804;0.04;2.1;10.07;78.91;;;;;;;;
19/12/2023;16:46:45;806;0.04;2.08;10.07;78.91;;;;;;;;
19/12/2023;16:46:48;808;0.1;2.1;47.69;0.07;;;;;;;;
19/12/2023;16:46:50;810;0;2.08;47.69;0.08;;;;;;;;
19/12/2023;16:46:52;812;0.04;2.1;47.68;0.07;;;;;;;;
19/12/2023;16:46:54;814;0.1;2.07;10.07;78.91;;;;;;;;
